62,13,0,SAB,SABA IS,2023-01-25 10:05:35,2023-01-25 10:05:35,
63,13,0,SFG,ST MARTIN,2023-01-25 10:05:35,2023-01-25 10:05:35,
64,13,0,SMB,STMICHIEL BAY,2023-01-25 10:05:35,2023-01-25 10:05:35,
65,13,0,SNL,SAN NICOLAAS,2023-01-25 10:05:35,2023-01-25 10:05:35,
66,13,0,SXM,ST.MARTIN,2023-01-25 10:05:35,2023-01-25 10:05:35,
67,13,0,WIL,WILLEMSTAD,2023-01-25 10:05:35,2023-01-25 10:05:35,
68,14,0,AMZ,AMBRIZ,2023-01-25 10:05:35,2023-01-25 10:05:35,
69,14,0,ANL,ANDULO,2023-01-25 10:05:35,2023-01-25 10:05:35,
70,14,0,ARR,ALTO SENGUERR,2023-01-25 10:05:35,2023-01-25 10:05:35,
71,14,0,ARZ,NZETO AMBRIZETE,2023-01-25 10:05:35,2023-01-25 10:05:35,
72,14,0,ATC,ATC NAME,2023-01-25 10:05:35,2023-01-25 10:05:35,
73,14,0,AZZ,AMBRIZ,2023-01-25 10:05:35,2023-01-25 10:05:35,
74,14,0,BDD,BARRA DO DANCE,2023-01-25 10:05:35,2023-01-25 10:05:35,
75,14,0,BDT,BAIA DOS TIGRE,2023-01-25 10:05:35,2023-01-25 10:05:35,
76,14,0,BUG,BENGUELA,2023-01-25 10:05:35,2023-01-25 10:05:35,
77,14,0,CAB,CABINDA,2023-01-25 10:05:35,2023-01-25 10:05:35,
78,14,0,CAV,CAZOMBO,2023-01-25 10:05:35,2023-01-25 10:05:35,
79,14,0,CBT,CATUMBELA,2023-01-25 10:05:35,2023-01-25 10:05:35,
80,14,0,CEO,WACO KUNGO,2023-01-25 10:05:35,2023-01-25 10:05:35,
81,14,0,CFF,CAFUNFO,2023-01-25 10:05:35,2023-01-25 10:05:35,
82,14,0,CNZ,CANGAMBA,2023-01-25 10:05:35,2023-01-25 10:05:35,
83,14,0,CTI,CUITO-CUANAVALE,2023-01-25 10:05:35,2023-01-25 10:05:35,
84,14,0,DGR,DOMBE GRANDE,2023-01-25 10:05:35,2023-01-25 10:05:35,
85,14,0,DRC,DIRICO,2023-01-25 10:05:35,2023-01-25 10:05:35,
86,14,0,DUE,DUNDO,2023-01-25 10:05:35,2023-01-25 10:05:35,
87,14,0,GGC,LUMBALA,2023-01-25 10:05:35,2023-01-25 10:05:35,
