67,IF,IRON FRAME,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
68,IPL,IRON PALLET,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
69,IRB,IRON BOXES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
70,IRC,IRON CASE (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
71,ITK,IBC,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
72,JEC,JERRYCANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
73,JRI,JERRICANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
74,KGM,KGS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
75,KGS,KGS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
76,L/F,LIFTVANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
77,LOT,LOT(s),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
78,LPP,LONG LENGTH PALLET PIPE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
79,LSE,LOOSE ,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
80,LTR,LITRE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
81,LTS,LITRES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
82,LVN,LIFTVAN(s),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
83,M3,M3,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
84,MAN,MAN,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
85,MB,METAL BARREL (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
86,MET,METAL DRUM,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
87,MIN,MIN,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
88,MT,MT,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
89,MTC,METAL CASE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
90,MTD,MT/DAY,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
91,MTH,MONTH,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
92,MTM,MT/MONTH,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
93,MTR,METER,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
94,MTW,MT/WEEK,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
95,NBR,NUMBERS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
96,NDS,NEW DRUMS ,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
97,NMB,NUMBER,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
98,NW,NAT-WOOD BOX,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
99,NWP,NON-WOODEN PALLETS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
100,OFS,OFFSHOE BOX,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
101,P/B,PAPER BOX(ES),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
102,P/D,PLASTIC DRUMS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
103,P/J,PLASTIC JERRICANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
104,PAL,PAL-BOXES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
105,PAP,PAPER CASE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
106,PAR,PARCELS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
