47,077,MS,EGYPTAIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
48,079,PR,PHILIPPINE AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
49,081,QF,QANTAS AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
50,082,SN,BRUSSELS AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
51,083,SA,SOUTH AFRICAN AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
52,085,SR,SWISSAIR CARGO,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
53,086,NZ,AIR NEW ZEALAND ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
54,087,WT,NIGERIA AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
55,090,AN,ANSETT AUSTRALIA CARGO,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
56,091,DP,FIRST CHOICE AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
57,093,KD,KALININGRADAVIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
58,094,4C,CLICK AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
59,096,IR,IRAN AIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
60,098,AI,AIR INDIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
61,105,AY,FINNAIR CARGO,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
62,107,C2,AIR LUXOR STP ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
63,108,FI,ICELANDAIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
64,111,I6,SKYEYES AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
65,114,LY,EL AL ISRAEL AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
66,117,SK,SAS CARGO,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
67,118,DT,TAAG - LINHAS AEREAS DE ANGOLA AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
68,120,JS,AIR KORYO ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
69,125,BA,BRITISH AIRWAYS WORLD CARGO,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
70,126,GA,GARUDA INDONESIA,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
71,128,UO,HELICOPTERS HONG KONG ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
72,131,JL,JAPAN AIRLINES CARGO,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
73,132,MX,MEXICANA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
74,134,AV,AVIANCA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
75,135,VT,AIR TAHITI ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
76,136,CU,CUBANA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
77,138,QH,ALTYN AIR AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
78,139,AM,AEROMEXICO ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
79,141,ZC,ROYAL SWAZI NATIONAL AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
80,142,KF,BLUE1 ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
81,148,LN,LIBYAN ARAB AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
82,149,LG,LUXAIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
83,151,R5,JORDAN AVIATION ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
84,156,2I,STAR PERU ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
85,157,QR,QATAR AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
86,160,CX,CATHAY PACIFIC AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
87,162,PH,POLYNESIAN ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
88,163,A5,AIRLINAIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
89,165,JP,ADRIA AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
90,166,IK,IMAIR AIRLINE ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
91,167,QM,AIR MALAWI ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
92,168,UM,AIR ZIMBABWE,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
93,172,CV,CARGOLUX AIRLINES INTERNATIONAL ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
